Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,ZnO_n,ZnO_k,PbSTBAI_n,PbSTBAI_k,PbSEDT_n,PbSEDT_k,Au_n,Au_k,Air_n,Air_k,,,,,,,,,,,,,,,,,,,,,,
432,1.51315,0,1.94041,0.00142,2.16027,0.01477,2.85279,0.74792,2.57492,0.65697,1.60411,1.93078,1,0,,,,,,,,,,,,,,,,,,,,,,
433,1.5131,0,1.93922,0.00143,2.1576,0.01469,2.85364,0.74371,2.57584,0.65308,1.60144,1.92872,1,0,,,,,,,,,,,,,,,,,,,,,,
434,1.51306,0,1.93803,0.00143,2.15493,0.0146,2.85449,0.73951,2.57676,0.64918,1.59877,1.92665,1,0,,,,,,,,,,,,,,,,,,,,,,
435,1.51301,0,1.93684,0.00144,2.15226,0.01452,2.8553,0.73535,2.57767,0.64528,1.59611,1.92458,1,0,,,,,,,,,,,,,,,,,,,,,,
436,1.51297,0,1.93565,0.00145,2.15014,0.01443,2.8561,0.73119,2.57846,0.64148,1.59179,1.92196,1,0,,,,,,,,,,,,,,,,,,,,,,
437,1.51292,0,1.93446,0.00146,2.14801,0.01435,2.85685,0.72707,2.57924,0.63768,1.58741,1.91932,1,0,,,,,,,,,,,,,,,,,,,,,,
438,1.51287,0,1.93327,0.00147,2.14589,0.01426,2.85761,0.72295,2.58003,0.63389,1.58303,1.91668,1,0,,,,,,,,,,,,,,,,,,,,,,
439,1.51283,0,1.93214,0.00147,2.14376,0.01418,2.85831,0.71887,2.58081,0.63009,1.57865,1.91404,1,0,,,,,,,,,,,,,,,,,,,,,,
440,1.51278,0,1.93099,0.00148,2.14164,0.01409,2.85902,0.71479,2.5816,0.62629,1.57427,1.9114,1,0,,,,,,,,,,,,,,,,,,,,,,
441,1.51274,0,1.9298,0.00149,2.13951,0.01401,2.85968,0.71076,2.58226,0.6226,1.56989,1.90876,1,0,,,,,,,,,,,,,,,,,,,,,,
442,1.51269,0,1.92866,0.0015,2.13739,0.01392,2.86034,0.70672,2.58292,0.6189,1.56551,1.90611,1,0,,,,,,,,,,,,,,,,,,,,,,
443,1.51265,0,1.92752,0.00151,2.13526,0.01384,2.86095,0.70273,2.58358,0.6152,1.56051,1.9033,1,0,,,,,,,,,,,,,,,,,,,,,,
444,1.5126,0,1.92633,0.00152,2.13314,0.01375,2.86157,0.69873,2.58424,0.61151,1.55307,1.89981,1,0,,,,,,,,,,,,,,,,,,,,,,
445,1.51256,0,1.92518,0.00153,2.13101,0.01367,2.86214,0.69478,2.58491,0.60781,1.54562,1.89632,1,0,,,,,,,,,,,,,,,,,,,,,,
446,1.51252,0,1.92406,0.00154,2.12889,0.01359,2.86271,0.69083,2.58545,0.60422,1.53818,1.89284,1,0,,,,,,,,,,,,,,,,,,,,,,
447,1.51248,0,1.92292,0.00155,2.12676,0.0135,2.86324,0.68691,2.586,0.60062,1.53073,1.88935,1,0,,,,,,,,,,,,,,,,,,,,,,
448,1.51244,0,1.9218,0.00156,2.12464,0.01342,2.86377,0.683,2.58655,0.59702,1.52329,1.88586,1,0,,,,,,,,,,,,,,,,,,,,,,
449,1.5124,0,1.92067,0.00157,2.12251,0.01333,2.86426,0.67913,2.5871,0.59343,1.51585,1.88237,1,0,,,,,,,,,,,,,,,,,,,,,,
450,1.51236,0,1.91954,0.00159,2.12039,0.01325,2.86474,0.67526,2.58765,0.58983,1.5084,1.87888,1,0,,,,,,,,,,,,,,,,,,,,,,
